_20_01,_20_02,_20_03,_20_05,_20_06,_20_07,_20_08,_20_09,_20_10,_20_11,_20_12,_21_01,_21_02,_21_03,_21_04,_21_05,_21_06,_21_07,_21_08,_21_09,stations
4097.0,3391.0,2225.0,562.0,919.0,1035.0,1207.0,1332.0,1330.0,1069.0,698.0,449.0,495.0,1005.0,1347.0,1547.0,2065.0,2405.0,2084.0,2567.0,Columbus Circle / Union Station
2522.0,2159.0,1710.0,1225.0,2042.0,2239.0,2460.0,2467.0,2388.0,1867.0,1308.0,1117.0,1004.0,1887.0,2277.0,2537.0,2869.0,3051.0,2815.0,3028.0,New Hampshire Ave & T St NW
2372.0,1973.0,1460.0,906.0,1489.0,1870.0,2019.0,1966.0,1956.0,1517.0,1046.0,1065.0,776.0,1289.0,1615.0,1866.0,1899.0,1703.0,1297.0,1481.0,14th & Irving St NW
2287.0,2110.0,1719.0,1117.0,1951.0,2250.0,2278.0,2179.0,2172.0,1695.0,1155.0,1183.0,876.0,1523.0,1921.0,2262.0,2643.0,2872.0,2637.0,2971.0,15th & P St NW
2020.0,1735.0,1685.0,1567.0,2413.0,2578.0,2383.0,2349.0,2210.0,1527.0,895.0,922.0,667.0,1301.0,1699.0,1883.0,2246.0,2588.0,2614.0,3183.0,1st & M St NE
1787.0,1631.0,1364.0,796.0,1421.0,1603.0,1571.0,1510.0,1396.0,96.0,,,,,,,,,,,Eastern Market Metro / Pennsylvania Ave & 7th St SE
1755.0,1657.0,1299.0,998.0,1678.0,1867.0,2117.0,1772.0,1758.0,1305.0,798.0,861.0,662.0,1178.0,1398.0,1774.0,1936.0,2252.0,1932.0,2241.0,14th & V St NW
1696.0,1471.0,1246.0,872.0,1675.0,1553.0,1743.0,1851.0,1701.0,1390.0,768.0,804.0,581.0,1250.0,1592.0,1919.0,2107.0,2233.0,1733.0,1828.0,Thomas Circle
1553.0,1347.0,1074.0,645.0,1024.0,1199.0,1490.0,1334.0,1259.0,1120.0,730.0,666.0,610.0,1075.0,1302.0,1536.0,1735.0,1902.0,1835.0,2206.0,17th & Corcoran St NW
1528.0,1370.0,1030.0,734.0,1339.0,1273.0,1422.0,1497.0,1375.0,1092.0,709.0,598.0,443.0,849.0,1178.0,1442.0,1749.0,2014.0,1935.0,2415.0,Massachusetts Ave & Dupont Circle NW
1526.0,1356.0,1148.0,889.0,1476.0,1635.0,1637.0,1716.0,1556.0,1314.0,856.0,880.0,684.0,1117.0,1425.0,1708.0,1830.0,1908.0,1777.0,2077.0,8th & O St NW
1481.0,1345.0,1015.0,908.0,1415.0,1618.0,1616.0,1436.0,1309.0,1014.0,619.0,664.0,529.0,869.0,1142.0,1407.0,1679.0,2022.0,1690.0,1952.0,14th & Rhode Island Ave NW
1472.0,1367.0,1179.0,1168.0,1763.0,2005.0,2125.0,1878.0,1883.0,1483.0,879.0,836.0,725.0,1210.0,1375.0,1676.0,1904.0,2323.0,2215.0,2104.0,11th & M St NW
1415.0,1283.0,1187.0,807.0,1659.0,1796.0,1709.0,1699.0,1510.0,1187.0,668.0,622.0,454.0,460.0,,,,,,,16th & Harvard St NW
1353.0,1403.0,1898.0,2067.0,2763.0,2996.0,3088.0,2950.0,2819.0,1657.0,826.0,529.0,558.0,2251.0,3011.0,3200.0,3369.0,4014.0,2817.0,3127.0,Lincoln Memorial
1349.0,1176.0,990.0,834.0,1283.0,1379.0,1284.0,1300.0,1259.0,970.0,567.0,627.0,471.0,999.0,1133.0,1374.0,1524.0,1635.0,1366.0,1478.0,5th St & Massachusetts Ave NW
1336.0,1276.0,1096.0,927.0,1308.0,1416.0,1513.0,1587.0,1453.0,1153.0,663.0,675.0,533.0,1051.0,1321.0,1644.0,1802.0,2013.0,1754.0,2233.0,3rd & M St NE
1321.0,1189.0,879.0,463.0,798.0,957.0,1054.0,1026.0,1147.0,959.0,649.0,710.0,501.0,856.0,909.0,1084.0,1204.0,1417.0,1246.0,1341.0,20th St & Florida Ave NW
1318.0,1161.0,861.0,635.0,1063.0,1138.0,1362.0,1401.0,1426.0,986.0,709.0,732.0,462.0,868.0,999.0,1359.0,1321.0,1380.0,1298.0,1488.0,Adams Mill & Columbia Rd NW
1293.0,1194.0,924.0,544.0,1019.0,1155.0,1306.0,1264.0,1323.0,1011.0,636.0,570.0,489.0,910.0,1092.0,1507.0,1577.0,1163.0,1100.0,1246.0,Columbia & Ontario Rd NW
1293.0,1136.0,904.0,515.0,880.0,1002.0,1138.0,1067.0,1091.0,823.0,560.0,494.0,424.0,777.0,926.0,1296.0,1334.0,1442.0,1268.0,1565.0,18th & New Hampshire Ave NW
1281.0,1089.0,984.0,839.0,1249.0,1478.0,1626.0,1637.0,1576.0,1195.0,723.0,794.0,588.0,1024.0,1425.0,1710.0,1865.0,2145.0,1852.0,1966.0,5th & K St NW
1277.0,1036.0,826.0,422.0,678.0,861.0,808.0,887.0,848.0,646.0,343.0,447.0,307.0,646.0,961.0,1045.0,1258.0,1321.0,972.0,1183.0,Convention Center / 7th & M St NW
1260.0,1289.0,914.0,714.0,1084.0,1296.0,1329.0,1368.0,1222.0,967.0,581.0,619.0,445.0,798.0,999.0,1225.0,1309.0,1767.0,1602.0,1958.0,6th & H St NE
1229.0,1006.0,799.0,555.0,1080.0,939.0,1016.0,620.0,669.0,519.0,288.0,287.0,246.0,478.0,540.0,629.0,635.0,541.0,508.0,682.0,12th & U St NW
1226.0,1110.0,952.0,820.0,1590.0,1613.0,1871.0,1738.0,1618.0,1302.0,754.0,684.0,597.0,1129.0,1365.0,1664.0,1775.0,1935.0,1731.0,1833.0,15th & W St NW
1226.0,1056.0,930.0,851.0,1269.0,1425.0,1508.0,1466.0,1379.0,966.0,636.0,641.0,484.0,844.0,898.0,1198.0,1230.0,1270.0,988.0,1127.0,Lamont & Mt Pleasant NW
1217.0,1080.0,1005.0,978.0,1427.0,1502.0,1583.0,1502.0,1391.0,1018.0,747.0,729.0,454.0,833.0,925.0,1185.0,985.0,1142.0,184.0,,15th & Euclid St  NW
1216.0,1200.0,833.0,433.0,876.0,1089.0,1236.0,1215.0,1213.0,966.0,565.0,571.0,453.0,893.0,988.0,1252.0,1536.0,1633.0,1324.0,1718.0,18th St & Wyoming Ave NW
1214.0,959.0,744.0,392.0,843.0,796.0,873.0,754.0,846.0,713.0,361.0,381.0,177.0,565.0,839.0,1099.0,1306.0,1707.0,1405.0,1614.0,8th & H St NW
1213.0,1008.0,783.0,424.0,966.0,667.0,754.0,659.0,603.0,557.0,295.0,265.0,226.0,422.0,513.0,616.0,740.0,834.0,811.0,1092.0,15th & M St NW
1164.0,1108.0,1492.0,2168.0,2245.0,2387.0,2453.0,2327.0,2075.0,1495.0,795.0,568.0,417.0,1872.0,2265.0,2682.0,2827.0,3727.0,2856.0,3308.0,4th St & Madison Dr NW
1160.0,1149.0,792.0,581.0,993.0,982.0,1021.0,980.0,991.0,725.0,393.0,406.0,317.0,609.0,813.0,931.0,1249.0,1381.0,1428.0,1910.0,17th St & Massachusetts Ave NW
1145.0,1041.0,1332.0,1561.0,2182.0,2119.0,2057.0,1908.0,1641.0,1205.0,797.0,651.0,513.0,989.0,1344.0,1568.0,1565.0,1827.0,1633.0,1954.0,4th & M St SW
1143.0,1013.0,866.0,211.0,,,,,,,,,,,,,,,,,21st & M St NW
1130.0,1015.0,729.0,257.0,1248.0,665.0,691.0,714.0,702.0,506.0,382.0,201.0,201.0,473.0,567.0,837.0,883.0,1206.0,1065.0,1110.0,Metro Center / 12th & G St NW
1122.0,1091.0,811.0,522.0,864.0,911.0,937.0,1021.0,917.0,760.0,511.0,607.0,431.0,752.0,903.0,977.0,1004.0,1213.0,1105.0,1546.0,22nd & I St NW / Foggy Bottom
1111.0,974.0,843.0,596.0,882.0,952.0,957.0,944.0,959.0,735.0,448.0,449.0,336.0,565.0,818.0,660.0,1046.0,1197.0,1267.0,1502.0,18th & R St NW
1083.0,963.0,711.0,551.0,1070.0,1109.0,1192.0,1418.0,1359.0,978.0,508.0,489.0,521.0,921.0,1150.0,1403.0,1460.0,1651.0,1529.0,1538.0,23rd & M St NW
1077.0,910.0,819.0,556.0,985.0,1093.0,1222.0,977.0,1015.0,813.0,541.0,494.0,418.0,726.0,821.0,1009.0,1124.0,942.0,914.0,1020.0,11th & Girard St NW
1075.0,951.0,834.0,571.0,1010.0,1137.0,1206.0,1158.0,1233.0,1001.0,663.0,620.0,482.0,830.0,1038.0,1216.0,1309.0,1303.0,1106.0,1110.0,14th & Belmont St NW
1065.0,967.0,851.0,580.0,926.0,958.0,914.0,1011.0,968.0,686.0,451.0,448.0,305.0,676.0,835.0,1064.0,1034.0,1293.0,1053.0,1283.0,Lincoln Park / 13th & East Capitol St NE 
1025.0,964.0,759.0,499.0,890.0,1117.0,1204.0,1224.0,1123.0,921.0,595.0,502.0,414.0,835.0,892.0,1058.0,990.0,806.0,751.0,892.0,Columbia Rd & Belmont St NW
1019.0,919.0,647.0,346.0,735.0,838.0,798.0,853.0,739.0,595.0,369.0,471.0,406.0,673.0,743.0,873.0,981.0,1299.0,1028.0,1218.0,12th & L St NW
1016.0,904.0,667.0,402.0,737.0,709.0,823.0,859.0,720.0,524.0,342.0,325.0,287.0,594.0,751.0,849.0,1010.0,1269.0,1138.0,1430.0,20th & O St NW / Dupont South
1011.0,1184.0,1522.0,1748.0,1474.0,1549.0,1880.0,2052.0,1687.0,1086.0,440.0,286.0,331.0,1680.0,1996.0,2046.0,2391.0,3172.0,2309.0,2525.0,Smithsonian-National Mall / Jefferson Dr & 12th St SW
1001.0,837.0,657.0,410.0,753.0,677.0,842.0,728.0,746.0,583.0,355.0,348.0,288.0,588.0,767.0,873.0,1078.0,1359.0,1121.0,1200.0,10th & K St NW
989.0,884.0,715.0,660.0,1089.0,1042.0,1082.0,1143.0,1085.0,762.0,477.0,452.0,333.0,668.0,917.0,1086.0,1377.0,1575.0,1409.0,1643.0,7th & T St NW
988.0,880.0,679.0,318.0,749.0,919.0,947.0,954.0,832.0,771.0,516.0,488.0,366.0,688.0,883.0,1148.0,1414.0,1579.0,1283.0,1435.0,California St & Florida Ave NW
986.0,954.0,728.0,410.0,714.0,774.0,951.0,952.0,968.0,903.0,556.0,273.0,303.0,539.0,832.0,1084.0,1228.0,1540.0,1303.0,1496.0,7th & F St NW / National Portrait Gallery
969.0,798.0,642.0,488.0,870.0,870.0,977.0,1016.0,1035.0,715.0,467.0,451.0,322.0,675.0,842.0,1041.0,1128.0,1272.0,1280.0,1467.0,New Hampshire Ave & 24th St NW
967.0,1108.0,1578.0,2092.0,2668.0,2345.0,2689.0,2409.0,2258.0,1596.0,798.0,490.0,354.0,1933.0,2386.0,2559.0,2822.0,3622.0,2617.0,2852.0,Jefferson Dr & 14th St SW
962.0,,,535.0,1393.0,1436.0,1535.0,1345.0,1367.0,1094.0,667.0,698.0,427.0,986.0,1267.0,1487.0,1750.0,2013.0,1652.0,1879.0,14th & R St NW
961.0,841.0,580.0,352.0,27.0,373.0,717.0,594.0,500.0,431.0,208.0,165.0,125.0,438.0,613.0,800.0,934.0,1203.0,913.0,1178.0,17th & G St NW
