station_name,start_lng,start_lat,coord,geoms_y,neighborhood,coord2,zipcodes
10th & Florida Ave NW,-77.025672,38.920387,-77.025672 38.920387,POINT (-77.025672 38.920387),"Howard University, Le Droit Park, Cardozo/Shaw","38.920387, -77.025672",20060
13th St & New York Ave NW,-77.029822,38.900283,-77.029822 38.900283,POINT (-77.029822 38.900283),"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","38.900283, -77.029822",20005
11th & C St SE,-76.991476,38.885908,-76.991476 38.885908,POINT (-76.99147600000001 38.885908),"Capitol Hill, Lincoln Park","38.885908, -76.991476",20003
Reservoir Rd & 38th St NW,-77.07432264076488,38.91261359469192,-77.07432264076488 38.91261359469192,POINT (-77.07432264076488 38.91261359469192),"Georgetown, Burleith/Hillandale","38.91261359469192, -77.07432264076488",20007
Rhode Island & Connecticut Ave NW,-77.03980207443237,38.905995699991145,-77.03980207443237 38.905995699991145,POINT (-77.03980207443237 38.90599569999114),"Dupont Circle, Connecticut Avenue/K Street","38.905995699991145, -77.03980207443237",20036
Eastern Market / 7th & North Carolina Ave SE,-76.996806,38.886952,-76.996806 38.886952,POINT (-76.99680600000001 38.886952),"Capitol Hill, Lincoln Park","38.886952, -76.996806",20003
Clarendon Metro / Wilson Blvd & N Highland St,-77.09525674581528,38.88701007722296,-77.09525674581528 38.88701007722296,,,"38.88701007722296, -77.09525674581528",22205
Edgewood Rec Center,-77.002098,38.924144,-77.002098 38.924144,POINT (-77.002098 38.924144),"Edgewood, Bloomingdale, Truxton Circle, Eckington","38.924144, -77.002098",20260
Mount Vernon Ave & Four Mile Run Park,-77.064016,38.843422,-77.064016 38.843422,,,"38.843422, -77.064016",22305
Harvard St & Adams Mill Rd NW,-77.04321566666667,38.927898166666665,-77.04321566666667 38.927898166666665,POINT (-77.04321566666667 38.92789816666667),"Kalorama Heights, Adams Morgan, Lanier Heights","38.927898166666665, -77.04321566666667",20009
Carlin Springs Rd & N Thomas St,-77.112982,38.876695,-77.112982 38.876695,,,"38.876695, -77.112982",22230
Four Mile Run Dr & S Walter Reed Dr,-77.095431,38.84736,-77.095431 38.84736,,,"38.84736, -77.095431",22206
Central Library / Quincy St & 10th St N,-77.10783,38.88397,-77.10783 38.88397,,,"38.88397, -77.10783",22217
Fessenden St & Wisconsin Ave NW,-77.082426,38.954812,-77.082426 38.954812,POINT (-77.082426 38.954812),"Friendship Heights, American University Park, Tenleytown","38.954812, -77.082426",20016
Commerce St & Fayette St,-77.05293,38.805648,-77.05293 38.805648,,,"38.805648, -77.05293",22314
Westover Library / Washington Blvd & N McKinley Rd,-77.142317,38.886048,-77.142317 38.886048,,,"38.886048, -77.142317",22205
4th & C St SW,-77.01770067214966,38.88637194054526,-77.01770067214966 38.88637194054526,POINT (-77.01770067214966 38.88637194054526),"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","38.88637194054526, -77.01770067214966",20202
Arlington Blvd & Fillmore St,-77.0893065,38.873724,-77.0893065 38.873724,,,"38.873724, -77.0893065",22201
Grant Circle,-77.01822102069855,38.942024743273045,-77.01822102069855 38.942024743273045,POINT (-77.01822102069855 38.94202474327304),"Brightwood Park, Crestwood, Petworth","38.942024743273045, -77.01822102069855",20011
Market Square / King St & Royal St,-77.043363,38.804718,-77.043363 38.804718,,,"38.804718, -77.043363",22314
39th & Veazey St NW,-77.077078,38.943837,-77.077078 38.943837,POINT (-77.077078 38.943837),"Friendship Heights, American University Park, Tenleytown","38.943837, -77.077078",20016
