,Location,Household Type,TimeFrame,DataFormat,Average Income,Fips
3942,10282,All Households,2019,Dollars,250001,10282
4004,10007,All Households,2019,Dollars,224063,10007
4084,10004,All Households,2019,Dollars,190223,10004
4087,10005,All Households,2019,Dollars,189702,10005
4100,10280,All Households,2019,Dollars,182760,10280
4111,10006,All Households,2019,Dollars,179044,10006
4148,11109,All Households,2019,Dollars,160625,11109
4174,10022,All Households,2019,Dollars,150718,10022
4178,10065,All Households,2019,Dollars,148441,10065
4190,10024,All Households,2019,Dollars,143623,10024
4206,10075,All Households,2019,Dollars,138640,10075
4208,10011,All Households,2019,Dollars,138272,10011
4221,10014,All Households,2019,Dollars,133501,10014
4224,10010,All Households,2019,Dollars,132988,10010
4226,10023,All Households,2019,Dollars,132605,10023
4229,10069,All Households,2019,Dollars,132500,10069
4231,11215,All Households,2019,Dollars,132091,11215
4237,10017,All Households,2019,Dollars,131045,10017
4248,11040,All Households,2019,Dollars,129344,11040
4250,11201,All Households,2019,Dollars,129248,11201
4268,10016,All Households,2019,Dollars,126628,10016
4286,10028,All Households,2019,Dollars,122969,10028
4290,10018,All Households,2019,Dollars,122484,10018
4292,10021,All Households,2019,Dollars,122169,10021
4295,10128,All Households,2019,Dollars,121829,10128
4311,11217,All Households,2019,Dollars,119375,11217
4317,10003,All Households,2019,Dollars,118161,10003
4355,11001,All Households,2019,Dollars,113300,11001
4358,10013,All Households,2019,Dollars,113191,10013
4388,10309,All Households,2019,Dollars,109457,10309
4428,10012,All Households,2019,Dollars,106467,10012
4435,11697,All Households,2019,Dollars,105750,11697
4448,10044,All Households,2019,Dollars,104808,10044
4457,10019,All Households,2019,Dollars,103792,10019
4463,10308,All Households,2019,Dollars,103027,10308
4491,11363,All Households,2019,Dollars,101019,11363
4501,11231,All Households,2019,Dollars,99643,11231
4509,11426,All Households,2019,Dollars,98987,11426
4525,11411,All Households,2019,Dollars,98207,11411
4535,10312,All Households,2019,Dollars,97407,10312
4551,10464,All Households,2019,Dollars,96366,10464
4561,10038,All Households,2019,Dollars,95702,10038
4571,11004,All Households,2019,Dollars,95436,11004
4575,10036,All Households,2019,Dollars,95301,10036
4607,11222,All Households,2019,Dollars,93488,11222
4608,11413,All Households,2019,Dollars,93432,11413
4611,11362,All Households,2019,Dollars,93333,11362
4616,10001,All Households,2019,Dollars,92840,10001
4628,11238,All Households,2019,Dollars,91846,11238
4634,10025,All Households,2019,Dollars,91624,10025
4635,10314,All Households,2019,Dollars,91505,10314
4679,10471,All Households,2019,Dollars,88722,10471
4688,11429,All Households,2019,Dollars,88300,11429
4691,11422,All Households,2019,Dollars,88130,11422
4696,11361,All Households,2019,Dollars,87892,11361
4734,11357,All Households,2019,Dollars,85818,11357
4735,11234,All Households,2019,Dollars,85807,11234
4749,10307,All Households,2019,Dollars,85103,10307
4760,11375,All Households,2019,Dollars,84713,11375
4765,11694,All Households,2019,Dollars,84485,11694
4772,11366,All Households,2019,Dollars,84301,11366
4782,11379,All Households,2019,Dollars,83883,11379
4795,11360,All Households,2019,Dollars,83063,11360
4814,11364,All Households,2019,Dollars,82028,11364
4827,11412,All Households,2019,Dollars,81608,11412
4834,11211,All Households,2019,Dollars,81228,11211
4839,10306,All Households,2019,Dollars,80834,10306
4859,11105,All Households,2019,Dollars,79883,11105
4861,10305,All Households,2019,Dollars,79742,10305
4871,11427,All Households,2019,Dollars,79385,11427
4874,11420,All Households,2019,Dollars,79273,11420
4893,11428,All Households,2019,Dollars,78368,11428
4898,11209,All Households,2019,Dollars,77917,11209
4905,11378,All Households,2019,Dollars,77710,11378
4922,11417,All Households,2019,Dollars,76868,11417
4941,11103,All Households,2019,Dollars,76234,11103
4945,10310,All Households,2019,Dollars,76075,10310
4951,11419,All Households,2019,Dollars,75835,11419
4958,10465,All Households,2019,Dollars,75617,10465
4959,11101,All Households,2019,Dollars,75581,11101
4960,11414,All Households,2019,Dollars,75471,11414
4966,11385,All Households,2019,Dollars,75340,11385
4972,11436,All Households,2019,Dollars,75222,11436
5004,11218,All Households,2019,Dollars,73470,11218
5011,11416,All Households,2019,Dollars,73370,11416
5017,11421,All Households,2019,Dollars,73107,11421
5023,11228,All Households,2019,Dollars,72902,11228
5065,11102,All Households,2019,Dollars,71382,11102
5069,11423,All Households,2019,Dollars,71194,11423
5076,11415,All Households,2019,Dollars,70900,11415
5082,11236,All Households,2019,Dollars,70793,11236
5109,11210,All Households,2019,Dollars,69385,11210
5125,11418,All Households,2019,Dollars,68920,11418
5127,11358,All Households,2019,Dollars,68848,11358
5140,11106,All Households,2019,Dollars,68530,11106
5156,11216,All Households,2019,Dollars,67795,11216
5158,11104,All Households,2019,Dollars,67751,11104
5164,11365,All Households,2019,Dollars,67642,11365
5176,10303,All Households,2019,Dollars,67215,10303
5184,11374,All Households,2019,Dollars,66795,11374
5208,11435,All Households,2019,Dollars,66137,11435
5210,10302,All Households,2019,Dollars,66096,10302
5227,10469,All Households,2019,Dollars,65399,10469
5255,11229,All Households,2019,Dollars,64631,11229
5264,11434,All Households,2019,Dollars,64087,11434
5274,10009,All Households,2019,Dollars,63717,10009
5278,11370,All Households,2019,Dollars,63706,11370
5286,11367,All Households,2019,Dollars,63546,11367
5298,10033,All Households,2019,Dollars,63093,10033
5318,11432,All Households,2019,Dollars,62148,11432
5321,10301,All Households,2019,Dollars,62052,10301
5330,11356,All Households,2019,Dollars,61859,11356
5348,10470,All Households,2019,Dollars,61266,10470
5351,11232,All Households,2019,Dollars,61200,11232
5364,11096,All Households,2019,Dollars,60675,11096
5365,11372,All Households,2019,Dollars,60659,11372
5367,11693,All Households,2019,Dollars,60569,11693
5392,11225,All Households,2019,Dollars,59820,11225
5395,10026,All Households,2019,Dollars,59691,10026
5414,11377,All Households,2019,Dollars,58948,11377
5420,11205,All Households,2019,Dollars,58872,11205
5438,10463,All Households,2019,Dollars,58408,10463
5439,10466,All Households,2019,Dollars,58393,10466
5440,10461,All Households,2019,Dollars,58305,10461
5442,11226,All Households,2019,Dollars,58257,11226
5470,11214,All Households,2019,Dollars,56911,11214
5472,11221,All Households,2019,Dollars,56900,11221
5511,11005,All Households,2019,Dollars,55313,11005
5522,11235,All Households,2019,Dollars,54646,11235
5524,11373,All Households,2019,Dollars,54584,11373
5527,11203,All Households,2019,Dollars,54457,11203
5529,10034,All Households,2019,Dollars,54406,10034
5532,10462,All Households,2019,Dollars,54278,10462
5534,11433,All Households,2019,Dollars,54253,11433
5536,11368,All Households,2019,Dollars,54211,11368
5537,10304,All Households,2019,Dollars,54199,10304
5539,11369,All Households,2019,Dollars,54184,11369
5543,11223,All Households,2019,Dollars,54023,11223
5553,10031,All Households,2019,Dollars,53660,10031
5555,10032,All Households,2019,Dollars,53525,10032
5562,11237,All Households,2019,Dollars,53303,11237
5567,11204,All Households,2019,Dollars,53093,11204
5568,11230,All Households,2019,Dollars,53070,11230
5599,10475,All Households,2019,Dollars,51951,10475
5600,10027,All Households,2019,Dollars,51938,10027
5651,11691,All Households,2019,Dollars,50267,11691
5653,11220,All Households,2019,Dollars,50191,11220
5659,10040,All Households,2019,Dollars,49677,10040
5722,11692,All Households,2019,Dollars,46819,11692
5732,10037,All Households,2019,Dollars,46263,10037
5748,11233,All Households,2019,Dollars,44905,11233
5750,11213,All Households,2019,Dollars,44831,11213
5780,11355,All Households,2019,Dollars,42507,11355
