Beds,Baths,SQFT,Lot_Size,Has_Garage,New_Construction,Days_on_Market,Property_Type,Asking_Price,Sold_Price,Difference_in_Price,Stories,Condition,Parking_Spaces,Central_Air,Tax_Value,Property Age,distance_from_downtown,distance_from_metro,regions
3.0,3.5,1860.0,2000.0,No,No,6,Townhouse,799000.0,863000,64000.0,3,Excellent,0,Yes,700870,114,2.4190864259461042,0.2823030601807195,DC Other
3.0,3.5,3455.0,6889.0,Yes,No,7,Single Family,565000.0,562500,-2500.0,3,Average,0,Yes,416800,26,19.240224643394864,9.316006368073262,MD
3.0,2.5,2127.0,10307.0,Yes,No,18,Single Family,689900.0,660000,-29900.0,2,Average,0,Yes,547410,36,19.476844642240575,3.7823714446069796,VA
6.0,5.5,5062.0,11250.0,No,No,33,Single Family,1244000.0,1200000,-44000.0,3,Average,0,Yes,989000,6,9.667168082566704,2.156777736398651,VA
3.0,2.5,1981.0,1752.0,No,No,9,Townhouse,739000.0,727000,-12000.0,3,Average,0,Yes,569540,70,4.401888031815902,1.8988097411804619,DC Other
7.0,4.5,6265.0,14372.0,Yes,No,23,Single Family,1350000.0,1365000,15000.0,3,Average,0,Yes,945500,38,13.587580650778051,4.20916842964851,MD
4.0,3.0,2938.0,27830.0,Yes,No,5,Single Family,1495000.0,1500000,5000.0,3,Average,0,No,897100,53,8.445144094273084,2.3920200471331126,MD
2.0,2.5,1188.0,0.0,No,No,7,Townhouse,575000.0,575000,0.0,1,Average,0,Yes,535090,102,3.0750989798078727,0.9131355841603855,DC Other
5.0,3.5,2484.0,6500.0,Yes,No,9,Single Family,1600000.0,1805000,205000.0,4,Average,0,Yes,1100560,108,4.626137362304889,0.7312235047614557,DC Other
3.0,2.5,2146.0,909.0,No,No,15,Townhouse,725000.0,725000,0.0,3,Average,0,Yes,589500,22,6.519550059310529,1.2334855481177514,MD
2.0,1.0,1440.0,1820.0,No,No,38,Townhouse,295000.0,290000,-5000.0,2,Average,0,Yes,212820,46,5.491979121933004,0.7827171472248413,DC River East
